review,sentiment
This laptop is very light and easy to carry.,1
"The screen is too light, it strains my eyes.",0
The phone design looks really cool and stylish.,1
"The AC is not cool enough, the room stays hot.",0
"The phone charges very quickly, great performance.",1
They added an extra charge without informing me.,0
My kid looks so bright while using this app.,1
"The lamp is too bright, I can't sleep well.",0
The case is hard and feels very durable.,1
The instructions are too hard to understand.,0
"The delivery was fast, only one day!",1
The website goes into fast mode suddenly and logs me out.,0
"The knife is really sharp, cuts perfectly.",1
The sound from the speaker is too sharp and unpleasant.,0
The price is fair for the quality.,1
The makeup didn’t give me a fair look at all.,0
The blanket is soft and very comfortable.,1
"The audio is too soft, barely audible.",0
The app always updates with the current features.,1
This adapter leaks dangerous current.,0
The headphones produce crystal-clear sound.,1
Buying this was not a sound decision.,0
The mattress has strong spring support.,1
The chair spring broke after a week.,0
This watch looks elegant and works well.,1
I tried to watch a movie but the colors were faded.,0
The shoes perfectly match my outfit.,1
The charger doesn’t match the product description.,0
The product quality is fine and detailed.,1
I had to pay a fine for late shipping.,0
This chair is comfortable for a short break.,1
The table started to break after only a week.,0
The speaker can play music smoothly.,1
The play button often gets stuck.,0
The fridge keeps drinks cold and refreshing.,1
The customer service was cold and unhelpful.,0
The purifier makes the air very clear.,1
The manual is not clear at all.,0
This helmet makes me feel safe while riding.,1
The app crashes whenever I try to safe my file.,0
The stylus draws every point precisely.,1
This review has no point at all.,0
This game really caught my interest.,1
The credit card applies too much interest.,0
The display quality is fine and sharp.,1
I received a fine for returning the item late.,0
The new monitor is bright and colorful.,1
The flashlight is so bright it hurts my eyes.,0
These running shoes are light and comfortable.,1
The packaging is too light and tears easily.,0
